Date,GOOG,AMZN,AAPL,FB
02/01/2015,524.812404,308.519989,105.69862,78.449997
05/01/2015,513.872306,302.190002,102.72092,77.190002
06/01/2015,501.962262,295.290009,102.73059,76.150002
07/01/2015,501.102268,298.420013,104.171098,76.150002
08/01/2015,502.682285,300.459991,108.173588,78.18
09/01/2015,496.172244,296.929993,108.289605,77.739998
12/01/2015,492.552239,291.410004,105.621276,76.720001
13/01/2015,496.182251,294.73999,106.559059,76.449997
14/01/2015,500.872267,293.269989,106.153011,76.279999
15/01/2015,501.792271,286.950012,103.271988,74.050003
16/01/2015,508.082288,290.73999,102.469554,75.18
20/01/2015,506.902294,289.440002,105.108881,76.239998
21/01/2015,518.042373,297.25,105.911314,76.739998
22/01/2015,534.392388,310.320007,108.66665,77.650002
23/01/2015,539.952437,312.390015,109.227388,77.830002
26/01/2015,535.212448,309.660004,109.343397,77.5
27/01/2015,518.63237,306.75,105.514929,75.779999
28/01/2015,510.002318,303.910004,111.479991,76.239998
29/01/2015,510.6623,311.779999,114.950754,78
30/01/2015,534.522445,354.529999,113.26855,75.910004
02/02/2015,528.482381,364.470001,114.689718,74.989998
03/02/2015,529.2424,363.549988,114.709057,75.400002
04/02/2015,522.762349,364.75,115.588828,75.629997
05/02/2015,527.582391,373.890015,116.413846,75.610001
06/02/2015,531.002415,374.279999,115.433537,74.470001
09/02/2015,527.832406,370.559998,116.200313,74.440002
10/02/2015,536.942412,373,118.43269,75.190002
11/02/2015,535.972405,375.140015,121.208608,76.510002
12/02/2015,542.932472,377.170013,122.742159,76.230003
13/02/2015,549.012501,381.829987,123.343934,75.739998
17/02/2015,542.842443,375.429993,124.071885,75.599998
18/02/2015,539.702422,373.369995,124.935719,76.709999
19/02/2015,542.872432,379,124.673652,79.419998
20/02/2015,538.952441,383.660004,125.692786,79.900002
23/02/2015,531.912381,380.140015,129.089888,78.839996
24/02/2015,536.092424,378.589996,128.284288,78.449997
25/02/2015,543.872489,385.369995,125.003653,79.559998
26/02/2015,555.482516,384.799988,126.585737,80.410004
27/02/2015,558.402511,380.160004,124.683368,78.970001
02/03/2015,571.342601,385.660004,125.294836,79.75
03/03/2015,573.64261,384.609985,125.556903,79.599998
04/03/2015,573.372583,382.720001,124.761003,80.900002
05/03/2015,575.332609,387.829987,122.693634,81.209999
06/03/2015,567.687558,380.089996,122.878043,80.010002
09/03/2015,568.852557,378.559998,123.402168,79.440002
10/03/2015,555.012538,369.51001,120.849491,77.550003
11/03/2015,551.182515,366.369995,118.646223,77.57
12/03/2015,555.512505,374.23999,120.79125,78.93
13/03/2015,547.322503,370.579987,119.956533,78.050003
16/03/2015,554.512509,373.350006,121.27655,78.07
17/03/2015,550.842471,371.920013,123.305109,79.360001
18/03/2015,559.502513,375.140015,124.693069,80.910004
19/03/2015,557.992512,373.23999,123.751585,82.75
20/03/2015,560.362537,378.48999,122.198625,83.800003
23/03/2015,558.81251,375.109985,123.47011,84.43
24/03/2015,570.192597,374.089996,122.965401,85.309998
25/03/2015,558.787539,370.959991,119.752707,82.919998
26/03/2015,555.172522,367.350006,120.587424,83.010002
27/03/2015,548.342512,370.559998,119.626532,83.300003
30/03/2015,552.032502,374.589996,122.654809,83.199997
31/03/2015,548.002468,372.100006,120.771841,82.220001
01/04/2015,542.562439,370.26001,120.597133,81.669998
02/04/2015,535.532417,372.25,121.635675,81.559998
06/04/2015,536.767432,377.040009,123.605993,82.440002
07/04/2015,537.022404,374.410004,122.305392,82.32
08/04/2015,541.612446,381.200012,121.907442,82.279999
09/04/2015,540.782472,383.540009,122.839218,82.169998
10/04/2015,540.012416,382.649994,123.363343,82.040001
13/04/2015,539.172466,382.359985,123.120693,83.010002
14/04/2015,530.392405,385.109985,122.586867,83.519997
15/04/2015,532.532429,383.450012,123.052751,82.709999
16/04/2015,533.802391,386.040009,122.460684,82.309998
17/04/2015,524.052386,375.559998,121.082433,80.779999
20/04/2015,535.382408,389.51001,123.848643,83.089996
21/04/2015,533.972413,391.179993,123.178934,83.620003
22/04/2015,539.367458,389.799988,124.838653,84.629997
23/04/2015,547.002472,389.98999,125.857786,82.410004
24/04/2015,565.062561,445.100006,126.449853,81.529999
27/04/2015,555.369995,438.559998,128.750172,81.910004
28/04/2015,553.679993,429.309998,126.72162,80.68
29/04/2015,549.080017,429.369995,124.858069,80.470001
30/04/2015,537.340027,421.779999,121.470675,78.769997
01/05/2015,537.900024,422.869995,125.158953,78.989998
04/05/2015,540.780029,423.040009,124.916303,78.809998
05/05/2015,530.799988,421.190002,122.101567,77.559998
06/05/2015,524.219971,419.100006,121.334791,78.099998
07/05/2015,530.700012,426.880005,122.085269,78.43
08/05/2015,538.219971,433.690002,124.385455,78.510002
11/05/2015,535.700012,432.850006,123.118401,78.010002
12/05/2015,529.039978,431.019989,122.679809,77.459999
13/05/2015,529.619995,426.869995,122.81626,78.440002
14/05/2015,538.400024,432.279999,125.68174,81.370003
15/05/2015,533.849976,426,125.50631,80.419998
18/05/2015,532.299988,425.23999,126.890318,80.879997
19/05/2015,537.359985,421.709991,126.773364,80.629997
20/05/2015,539.27002,423.859985,126.763608,80.550003
21/05/2015,542.51001,431.630005,128.059901,80.480003
22/05/2015,540.109985,427.630005,129.180748,80.540001
26/05/2015,532.320007,425.470001,126.334757,79.330002
27/05/2015,539.789978,431.420013,128.69342,80.550003
28/05/2015,539.780029,426.570007,128.440015,80.150002
29/05/2015,532.109985,429.230011,126.978033,79.190002
01/06/2015,533.98999,430.920013,127.231438,80.290001
02/06/2015,539.179993,430.98999,126.666151,80.440002
03/06/2015,540.309998,436.589996,126.822085,82.440002
04/06/2015,536.700012,430.779999,126.081352,82.050003
05/06/2015,533.330017,426.950012,125.389341,82.139999
08/06/2015,526.830017,423.5,124.560893,80.669998
09/06/2015,526.690002,425.480011,124.19052,80.669998
10/06/2015,536.690002,430.769989,125.613522,82.160004
11/06/2015,534.609985,432.970001,125.330864,81.830002
12/06/2015,532.330017,429.920013,123.946856,81.529999
15/06/2015,527.200012,423.670013,123.703192,80.709999
16/06/2015,528.150024,427.26001,124.365958,81.059998
17/06/2015,529.26001,427.809998,124.073566,81.790001
18/06/2015,536.72998,439.390015,124.63886,82.910004
19/06/2015,536.690002,434.920013,123.391303,82.510002
22/06/2015,538.190002,436.290009,124.375706,84.739998
23/06/2015,540.47998,445.98999,123.810405,87.879997
24/06/2015,537.840027,440.839996,124.863034,88.860001
25/06/2015,535.22998,440.100006,124.268494,87.980003
26/06/2015,531.690002,438.100006,123.537503,88.010002
29/06/2015,521.52002,429.859985,121.373768,85.800003
30/06/2015,520.51001,434.089996,122.250959,85.769997
01/07/2015,521.840027,437.390015,123.391303,86.910004
02/07/2015,523.400024,437.709991,123.235362,87.290001
06/07/2015,522.859985,436.040009,122.806512,87.550003
07/07/2015,525.02002,436.720001,122.504371,87.220001
08/07/2015,516.830017,429.700012,119.463445,85.650002
09/07/2015,520.679993,434.390015,117.026808,85.879997
10/07/2015,530.130005,443.51001,120.155449,87.949997
13/07/2015,546.549988,455.570007,122.475132,90.099998
14/07/2015,561.099976,465.570007,122.426397,89.68
15/07/2015,560.219971,461.190002,123.605728,89.760002
16/07/2015,579.849976,475.480011,125.25289,90.849998
17/07/2015,672.929993,483.01001,126.334757,94.970001
20/07/2015,663.02002,488.100006,128.722674,97.910004
21/07/2015,662.299988,488,127.436122,98.389999
22/07/2015,662.099976,488.269989,122.046282,97.040001
23/07/2015,644.280029,482.179993,121.987805,95.440002
24/07/2015,623.559998,529.419983,121.344529,96.949997
27/07/2015,627.26001,531.409973,119.658373,94.169998
28/07/2015,628,526.030029,120.252913,95.290001
29/07/2015,631.929993,529,119.872798,96.989998
30/07/2015,632.590027,536.76001,119.268517,95.209999
31/07/2015,625.609985,536.150024,118.225637,94.010002
03/08/2015,631.210022,535.030029,115.438123,94.139999
04/08/2015,629.25,531.900024,111.734432,94.059998
05/08/2015,643.780029,537.01001,112.475172,96.440002
06/08/2015,642.679993,529.460022,112.719936,95.120003
07/08/2015,635.299988,522.619995,113.101772,94.300003
10/08/2015,633.72998,524,117.213856,94.150002
11/08/2015,660.780029,527.460022,111.114268,93.620003
12/08/2015,659.559998,525.909973,112.827634,94.190002
13/08/2015,656.450012,529.659973,112.739522,93.43
14/08/2015,657.119995,531.52002,113.532563,94.419998
17/08/2015,660.869995,535.219971,114.707448,93.93
18/08/2015,656.130005,535.02002,114.06126,95.169998
19/08/2015,660.900024,532.919983,112.602453,95.309998
20/08/2015,646.830017,515.780029,110.291855,90.559998
21/08/2015,612.47998,494.470001,103.546087,86.059998
24/08/2015,589.609985,463.369995,100.961352,82.089996
25/08/2015,582.059998,466.369995,101.568368,83
26/08/2015,628.619995,500.769989,107.393819,87.190002
27/08/2015,637.609985,518.369995,110.5562,89.730003
28/08/2015,630.380005,518.01001,110.918457,91.010002
31/08/2015,618.25,512.890015,110.399553,89.43
01/09/2015,597.789978,496.540009,105.465056,87.230003
02/09/2015,614.340027,510.549988,109.988339,89.889999
03/09/2015,606.25,504.720001,108.059584,88.150002
04/09/2015,600.700012,499,106.982605,88.260002
08/09/2015,614.659973,517.539978,109.958969,89.529999
09/09/2015,612.719971,516.890015,107.844189,90.440002
10/09/2015,621.349976,522.23999,110.213528,91.980003
11/09/2015,625.77002,529.440002,111.819197,92.050003
14/09/2015,623.23999,521.380005,112.896168,92.309998
15/09/2015,635.140015,522.369995,113.845864,92.900002
16/09/2015,635.97998,527.390015,113.973148,93.449997
17/09/2015,642.900024,538.869995,111.535266,94.339996
18/09/2015,629.25,540.26001,111.075104,94.400002
21/09/2015,635.440002,548.390015,112.798263,95.550003
22/09/2015,622.690002,538.400024,111.026155,92.959999
23/09/2015,622.359985,536.070007,111.926895,93.970001
24/09/2015,625.799988,533.75,112.59266,94.410004
25/09/2015,611.969971,524.25,112.30873,92.769997
28/09/2015,594.890015,504.059998,110.086252,89.209999
29/09/2015,594.969971,496.070007,106.777002,86.669998
30/09/2015,608.419983,511.890015,107.99105,89.900002
01/10/2015,611.289978,520.719971,107.286121,90.949997
02/10/2015,626.909973,532.539978,108.06937,92.07
05/10/2015,641.469971,543.679993,108.460998,94.010002
06/10/2015,645.440002,537.47998,108.979902,92.800003
07/10/2015,642.359985,541.940002,108.460998,92.400002
08/10/2015,639.159973,533.159973,107.207794,92.470001
09/10/2015,643.609985,539.799988,109.772951,93.239998
12/10/2015,646.669983,550.190002,109.263832,94.260002
13/10/2015,652.299988,548.900024,109.449857,94.120003
14/10/2015,651.159973,544.830017,107.90293,94.07
15/10/2015,661.73999,562.440002,109.518392,95.959999
16/10/2015,662.200012,570.76001,108.715557,97.540001
19/10/2015,666.099976,573.150024,109.391116,98.470001
20/10/2015,650.280029,560.880005,111.388405,97
21/10/2015,642.609985,555.77002,111.37862,97.110001
22/10/2015,651.789978,563.909973,113.082193,99.669998
23/10/2015,702,599.030029,116.587254,102.190002
26/10/2015,712.780029,608.609985,112.866798,103.769997
27/10/2015,708.48999,611.01001,112.152083,103.699997
28/10/2015,712.950012,617.099976,116.773271,104.199997
29/10/2015,716.919983,626.549988,118.006897,104.879997
30/10/2015,710.809998,625.900024,116.99846,101.970001
02/11/2015,721.109985,628.349976,118.643292,103.309998
03/11/2015,722.159973,625.309998,120.004194,102.580002
04/11/2015,728.109985,640.950012,119.446126,103.940002
05/11/2015,731.25,655.650024,118.895499,108.760002
06/11/2015,733.76001,659.369995,119.033154,107.099998
09/11/2015,724.890015,655.48999,118.55136,106.489998
10/11/2015,728.320007,659.679993,114.814979,107.910004
11/11/2015,735.400024,673.25,114.166033,109.010002
12/11/2015,731.22998,665.599976,113.782563,108.019997
13/11/2015,717,642.349976,110.459148,103.949997
16/11/2015,728.960022,647.809998,112.268345,104.040001
17/11/2015,725.299988,643.299988,111.786551,105.129997
18/11/2015,740,663.539978,115.326277,107.769997
19/11/2015,738.409973,661.27002,116.791328,106.260002
20/11/2015,756.599976,668.450012,117.302627,107.32
23/11/2015,755.97998,678.98999,115.778574,106.949997
24/11/2015,748.280029,671.150024,116.889653,105.739998
25/11/2015,748.150024,675.340027,116.053885,105.410004
27/11/2015,750.26001,673.26001,115.837567,105.449997
30/11/2015,742.599976,664.799988,116.319369,104.239998
01/12/2015,767.039978,679.059998,115.375435,107.120003
02/12/2015,762.380005,676.01001,114.333185,106.07
03/12/2015,752.539978,666.25,113.271265,104.379997
04/12/2015,766.809998,672.640015,117.037143,106.18
07/12/2015,763.25,669.830017,116.2997,105.610001
08/12/2015,762.369995,677.330017,116.250541,106.489998
09/12/2015,751.609985,664.789978,113.684239,104.599998
10/12/2015,749.460022,662.320007,114.225026,105.419998
11/12/2015,738.869995,640.150024,111.285088,102.120003
14/12/2015,747.77002,657.909973,110.596811,104.660004
15/12/2015,743.400024,658.640015,108.640123,104.550003
16/12/2015,758.090027,675.77002,109.47589,106.790001
17/12/2015,749.429993,670.650024,107.155409,106.220001
18/12/2015,739.309998,664.140015,104.254795,104.040001
21/12/2015,747.77002,664.51001,105.533033,104.769997
22/12/2015,750,663.150024,105.434708,105.510002
23/12/2015,750.309998,663.700012,106.791601,104.629997
24/12/2015,748.400024,662.789978,106.22131,105.019997
28/12/2015,762.51001,675.200012,105.031569,105.93
29/12/2015,776.599976,693.969971,106.919422,107.260002
30/12/2015,771,689.070007,105.523198,106.220001
31/12/2015,758.880005,675.890015,103.49769,104.660004
