,StoreNumber,date,Quantity
198,20974,2015-03-06,4.0
199,20974,2015-03-13,29.0
200,20974,2015-03-16,6.0
201,20974,2015-03-17,8.0
202,20974,2015-03-18,4.0
203,20974,2015-03-20,164.0
204,20974,2015-03-21,112.0
205,20974,2015-03-22,168.0
206,20974,2015-03-23,222.0
207,20974,2015-03-24,222.0
208,20974,2015-03-25,194.0
209,20974,2015-03-26,172.0
210,20974,2015-03-27,158.0
211,20974,2015-03-28,142.0
212,20974,2015-03-29,238.0
213,20974,2015-03-30,282.0
214,20974,2015-03-31,276.0
215,20974,2015-04-01,250.0
216,20974,2015-04-02,184.0
217,20974,2015-04-03,212.0
218,20974,2015-04-04,16.0
219,20974,2015-04-05,235.0
220,20974,2015-04-06,181.0
221,20974,2015-04-07,201.0
222,20974,2015-04-08,232.0
223,20974,2015-04-09,258.0
224,20974,2015-04-10,237.0
225,20974,2015-04-11,241.0
226,20974,2015-04-12,268.0
227,20974,2015-04-13,236.0
228,20974,2015-04-14,232.0
229,20974,2015-04-15,335.0
230,20974,2015-04-16,238.0
231,20974,2015-04-17,278.0
232,20974,2015-04-18,259.0
233,20974,2015-04-19,211.0
234,20974,2015-04-20,260.0
235,20974,2015-04-21,248.0
236,20974,2015-04-22,220.0
237,20974,2015-04-23,296.0
238,20974,2015-04-24,286.0
239,20974,2015-04-25,173.0
240,20974,2015-04-26,234.0
241,20974,2015-04-27,283.0
242,20974,2015-04-28,283.0
243,20974,2015-04-29,293.0
244,20974,2015-04-30,227.0
245,20974,2015-05-01,198.0
246,20974,2015-05-02,158.0
247,20974,2015-05-03,313.0
248,20974,2015-05-04,232.0
249,20974,2015-05-05,250.0
250,20974,2015-05-06,252.0
251,20974,2015-05-07,277.0
252,20974,2015-05-08,192.0
253,20974,2015-05-09,118.0
254,20974,2015-05-10,264.0
255,20974,2015-05-11,247.0
256,20974,2015-05-12,198.0
257,20974,2015-05-13,230.0
258,20974,2015-05-14,258.0
259,20974,2015-05-15,186.0
260,20974,2015-05-16,194.0
261,20974,2015-05-17,204.0
262,20974,2015-05-18,222.0
263,20974,2015-05-19,218.0
264,20974,2015-05-20,242.0
265,20974,2015-05-21,203.0
266,20974,2015-05-22,154.0
267,20974,2015-05-23,112.0
268,20974,2015-05-24,130.0
269,20974,2015-05-25,243.0
270,20974,2015-05-26,264.0
271,20974,2015-05-27,263.0
272,20974,2015-05-28,222.0
273,20974,2015-05-29,206.0
274,20974,2015-05-30,128.0
275,20974,2015-05-31,172.0
276,20974,2015-06-01,198.0
277,20974,2015-06-02,228.0
278,20974,2015-06-03,249.0
279,20974,2015-06-04,219.0
280,20974,2015-06-05,185.0
281,20974,2015-06-06,161.0
282,20974,2015-06-07,200.0
283,20974,2015-06-08,224.0
284,20974,2015-06-09,210.0
285,20974,2015-06-10,256.0
286,20974,2015-06-11,386.0
287,20974,2015-06-12,170.0
288,20974,2015-06-13,206.0
289,20974,2015-06-14,167.0
290,20974,2015-06-15,266.0
