Date,Sales
2012-01,4715
2012-02,4386
2012-03,4408
2012-04,4477
2012-05,4998
2012-06,5310
2012-07,5245
2012-08,5401
2012-09,4585
2012-10,5460
2012-11,5496
2012-12,5019
2013-01,5901
2013-02,6038
2013-03,5785
2013-04,5826
2013-05,6324
2013-06,6003
2013-07,5456
2013-08,5002
2013-09,4636
2013-10,5485
2013-11,6430
2013-12,5993
2014-01,6952
2014-02,6629
2014-03,6558
2014-04,6634
2014-05,6472
2014-06,6158
2014-07,5869
2014-08,5085
2014-09,4631
2014-10,5225
2014-11,5266
2014-12,5479
2015-01,7303
2015-02,6644
2015-03,6374
2015-04,5517
2015-05,6139
2015-06,6323
2015-07,5736
2015-08,4902
2015-09,4055
2015-10,3776
2015-11,3628
2015-12,6725
2016-01,7485
2016-02,5832
2016-03,5404
2016-04,4506
2016-05,4182
2016-06,3801
2016-07,4305
2016-08,3740
2016-09,3557
2016-10,4889
2016-11,NA
2016-12,NA
